  0.  0.    74.7314  -0.661604    3.52539E-04
    5.29412E-04  0.    90.4289   -35.3935    2.78776
    1.05882E-03  0.    106.391   -56.3335    6.36747
    1.58824E-03  0.    125.232   -34.2542    12.0688
    2.11765E-03  0.    130.867   -29.5324    17.9863
    2.64706E-03  0.    131.167   -14.7565    24.2995
    3.17647E-03  0.    129.145   -12.0177    30.7217
    3.70588E-03  0.    127.477   -9.53082    37.2453
    4.23529E-03  0.    126.412   -7.47306    43.9413
    4.76471E-03  0.    126.690   -5.84355    50.9360
    5.29412E-03  0.    127.637   -4.41267    58.0889
    5.82353E-03  0.    130.613   -3.41421    65.8306
    6.35294E-03  0.    134.524   -2.55370    73.9400
    6.88235E-03  0.    139.771   -1.89034    82.5749
    7.41176E-03  0.    146.789   -1.40480    92.1267
    7.94118E-03  0.    154.626  -0.992603   102.1381
    8.47059E-03  0.    164.627  -0.722269    113.567
    9.00000E-03  0.    175.785  -0.499968    125.922
    9.52941E-03  0.    188.294  -0.238853    139.425
    1.00588E-02  0.    203.043  -0.177313    154.980
    1.05882E-02  0.    218.774  -0.128352    171.544
    1.11176E-02  0.    237.030   -1.02302E-01    190.926
    1.16471E-02  0.    256.880   -8.43939E-02    212.385
    1.21765E-02  0.    278.356   -7.47901E-02    235.962
    1.27059E-02  0.    302.753   -7.33382E-02    264.027
    1.32353E-02  0.    328.383   -7.44288E-02    294.219
    1.37647E-02  0.    356.949   -7.98637E-02    329.917
    1.42941E-02  0.    387.412   -8.66525E-02    370.276
    1.48235E-02  0.    419.512   -9.46102E-02    414.662
    1.53529E-02  0.    454.188   -1.03360E-01    468.889
    1.58824E-02  0.    489.495  -0.112268    527.693
    1.64118E-02  0.    525.771  -0.121359    597.427
    1.69412E-02  0.    560.730  -0.130093    677.475
    1.74706E-02  0.    594.729  -0.138569    765.042
    1.80000E-02  0.    620.469  -0.146393    872.362

  0.    5.17241E-04    77.1995  -0.683520    2.48275E-04
    5.29412E-04    5.17241E-04    93.6051   -36.7703    2.05942
    1.05882E-03    5.17241E-04    110.330   -58.5824    4.76113
    1.58824E-03    5.17241E-04    130.166   -35.7297    9.16770
    2.11765E-03    5.17241E-04    136.279   -30.8862    13.8063
    2.64706E-03    5.17241E-04    136.866   -15.4620    18.7927
    3.17647E-03    5.17241E-04    135.009   -12.6199    23.9390
    3.70588E-03    5.17241E-04    133.522  -10.03691    29.1928
    4.23529E-03    5.17241E-04    132.664   -7.89508    34.6296
    4.76471E-03    5.17241E-04    133.220   -6.19614    40.3585
    5.29412E-03    5.17241E-04    134.482   -4.70268    46.2404
    5.82353E-03    5.17241E-04    137.899   -3.65754    52.6715
    6.35294E-03    5.17241E-04    142.318   -2.75583    59.4383
    6.88235E-03    5.17241E-04    148.169   -2.05911    66.6849
    7.41176E-03    5.17241E-04    155.943   -1.54747    74.7615
    7.94118E-03    5.17241E-04    164.609   -1.11219    83.2541
    8.47059E-03    5.17241E-04    175.654  -0.824811    93.0283
    9.00000E-03    5.17241E-04    187.990  -0.587682   103.6426
    9.52941E-03    5.17241E-04    201.838  -0.274870    115.298
    1.00588E-02    5.17241E-04    218.223  -0.208329    128.829
    1.05882E-02    5.17241E-04    235.735  -0.154960    143.285
    1.11176E-02    5.17241E-04    256.171  -0.125631    160.339
